Gene Names,Gene Names (primary),Reviewed,Organism,Protein ID
MSTO1;LST005;SLTP005,MSTO1,reviewed,Homo sapiens (Human),Q9BUK6
BPNT1,BPNT1,unreviewed,Homo sapiens (Human),F8VZG4
NUP93;KIAA0095,NUP93,reviewed,Homo sapiens (Human),Q8N1F7
NLN;AGTBP;KIAA1226,NLN,reviewed,Homo sapiens (Human),Q9BYT8
SKP1,SKP1,unreviewed,Homo sapiens (Human),F8W8N3
CNP,CNP,reviewed,Homo sapiens (Human),P09543
RAB12,RAB12,reviewed,Homo sapiens (Human),Q6IQ22
SMG9;C19orf61,SMG9,reviewed,Homo sapiens (Human),Q9H0W8
YWHAB,YWHAB,unreviewed,Homo sapiens (Human),A0A0J9YWE8
ELP2,ELP2,unreviewed,Homo sapiens (Human),F5GX79
NUP54,NUP54,reviewed,Homo sapiens (Human),Q7Z3B4
RPRD1B;C20orf77;CREPT,RPRD1B,reviewed,Homo sapiens (Human),Q9NQG5
CSDE1;D1S155E;KIAA0885;NRU;UNR,CSDE1,reviewed,Homo sapiens (Human),O75534
PHB2,PHB2,unreviewed,Homo sapiens (Human),F5GWA7
CYFIP2,CYFIP2,unreviewed,Homo sapiens (Human),E7EW33
LTBP1,LTBP1,unreviewed,Homo sapiens (Human),H7C2H7
NCAPH2,NCAPH2,unreviewed,Homo sapiens (Human),H0YC55
IRAK4,IRAK4,unreviewed,Homo sapiens (Human),F8VW24
DLST,DLST,unreviewed,Homo sapiens (Human),H0YJF9
HNRNPH1;HNRPH;HNRPH1,HNRNPH1,reviewed,Homo sapiens (Human),P31943
Lamb2,Lamb2,reviewed,Rattus norvegicus (Rat),P15800
CRADD;RAIDD,CRADD,reviewed,Homo sapiens (Human),P78560
EIF3E,EIF3E,unreviewed,Homo sapiens (Human),E5RII3
RHOG;ARHG,RHOG,reviewed,Homo sapiens (Human),P84095
LSP1;WP34,LSP1,reviewed,Homo sapiens (Human),P33241
EXOSC9;PMSCL1,EXOSC9,reviewed,Homo sapiens (Human),Q06265
SEC23A,SEC23A,unreviewed,Homo sapiens (Human),G3V4V1
RAB1A;RAB1,RAB1A,reviewed,Homo sapiens (Human),P62820
ACACA,ACACA,unreviewed,Homo sapiens (Human),A0A0C4DGT1
REXO4,REXO4,unreviewed,Homo sapiens (Human),A0A0C4DG22
NKAP,NKAP,reviewed,Homo sapiens (Human),Q8N5F7
MKRN2,MKRN2,unreviewed,Homo sapiens (Human),C9J494
ECHDC1,ECHDC1,unreviewed,Homo sapiens (Human),E9PLY6
U2AF2,U2AF2,unreviewed,Homo sapiens (Human),K7ELP8
ICAM3,ICAM3,reviewed,Homo sapiens (Human),P32942
RUVBL2,RUVBL2,unreviewed,Homo sapiens (Human),M0R0Y3
Wdr93,Wdr93,unreviewed,Rattus norvegicus (Rat),D3ZYU1
TRIM33;KIAA1113;RFG7;TIF1G,TRIM33,reviewed,Homo sapiens (Human),Q9UPN9
ADPRH,ADPRH,unreviewed,Homo sapiens (Human),C9JZW7
GNB2,GNB2,unreviewed,Homo sapiens (Human),C9JZN1
Anpep;rCG_24850,Anpep,unreviewed,Rattus norvegicus (Rat),G3V7W7
PLAUR,PLAUR,unreviewed,Homo sapiens (Human),M0R1I2
SHKBP1,SHKBP1,unreviewed,Homo sapiens (Human),M0R0S2
NUMB,NUMB,unreviewed,Homo sapiens (Human),G3V4S6
SLC9A1;APNH1;NHE1,SLC9A1,reviewed,Homo sapiens (Human),P19634
XPNPEP1;XPNPEPL;XPNPEPL1,XPNPEP1,reviewed,Homo sapiens (Human),Q9NQW7
ABR,ABR,unreviewed,Homo sapiens (Human),B7Z683
ANK2,ANK2,unreviewed,Homo sapiens (Human),A0A5F9ZHT8
IGF2R,IGF2R,unreviewed,Homo sapiens (Human),S4R328
SLC4A1AP,SLC4A1AP,unreviewed,Homo sapiens (Human),A0A087X0M4
CA4,CA4,reviewed,Homo sapiens (Human),P22748
PPP4R3A,PPP4R3A,unreviewed,Homo sapiens (Human),G3V231
FBLIM1,FBLIM1,unreviewed,Homo sapiens (Human),E7EPI5
F11R;JAM1;JCAM;UNQ264/PRO301,F11R,reviewed,Homo sapiens (Human),Q9Y624
Itgav,Itgav,unreviewed,Rattus norvegicus (Rat),F1LZX9
Rsrc2,Rsrc2,unreviewed,Rattus norvegicus (Rat),A0A0G2JZB4
HNRNPH1,HNRNPH1,unreviewed,Homo sapiens (Human),H0YB39
SEC24A,SEC24A,reviewed,Homo sapiens (Human),O95486
PFDN4,PFDN4,unreviewed,Homo sapiens (Human),E9PQY2
SCO2,SCO2,unreviewed,Homo sapiens (Human),A0A1W2PQK0
AARS1;AARS,AARS1,reviewed,Homo sapiens (Human),P49588
LRRFIP2,LRRFIP2,unreviewed,Homo sapiens (Human),C9JC17
L2HGDH,L2HGDH,unreviewed,Homo sapiens (Human),G3V5S1
GPCPD1;GDE5;KIAA1434,GPCPD1,reviewed,Homo sapiens (Human),Q9NPB8
MXRA7,MXRA7,reviewed,Homo sapiens (Human),P84157
NCAPH,NCAPH,unreviewed,Homo sapiens (Human),C9JZP1
HDAC7,HDAC7,unreviewed,Homo sapiens (Human),C9J102
SLC12A7,SLC12A7,unreviewed,Homo sapiens (Human),A0A0U1RR18
ASAH1,ASAH1,unreviewed,Homo sapiens (Human),A0A1B0GW66
S1PR3;C9orf108;C9orf47;EDG3,S1PR3,reviewed,Homo sapiens (Human),Q99500
ADAM10,ADAM10,unreviewed,Homo sapiens (Human),C9J9B4
SERPINA6,SERPINA6,unreviewed,Homo sapiens (Human),G3V4V7
TRMT1,TRMT1,unreviewed,Homo sapiens (Human),K7ERR5
