Gene names,Gene names  (primary ),Status,Organism,Protein ID
DCAF11,DCAF11,unreviewed,Homo sapiens (Human),H0YL98
ANKMY2 hCG_19294,ANKMY2,unreviewed,Homo sapiens (Human),G3V0G5
MED16,MED16,unreviewed,Homo sapiens (Human),A0A0J9YXK9
TAOK3,TAOK3,unreviewed,Homo sapiens (Human),F5GWV8
G3BP1,G3BP1,unreviewed,Homo sapiens (Human),E5RH00
SLMAP,SLMAP,unreviewed,Homo sapiens (Human),H7C5G9
AKR1D1 SRD5B1,AKR1D1,reviewed,Homo sapiens (Human),P51857
AAGAB,AAGAB,reviewed,Homo sapiens (Human),Q6PD74
M6PR,M6PR,unreviewed,Homo sapiens (Human),H0YGE9
SPCS2 KIAA0102 SPC25,SPCS2,reviewed,Homo sapiens (Human),Q15005
STXBP2,STXBP2,unreviewed,Homo sapiens (Human),M0R376
LRP1,LRP1,unreviewed,Homo sapiens (Human),Q6PJ72
KHSRP,KHSRP,unreviewed,Homo sapiens (Human),A0A087WTP3
WDR82 TMEM113 WDR82A UNQ9342/PRO34047,WDR82,reviewed,Homo sapiens (Human),Q6UXN9
SEC61A2,SEC61A2,unreviewed,Homo sapiens (Human),H7C069
SPTLC2 KIAA0526 LCB2,SPTLC2,reviewed,Homo sapiens (Human),O15270
SH2D4A,SH2D4A,unreviewed,Homo sapiens (Human),H0YAT1
DECR1,DECR1,unreviewed,Homo sapiens (Human),H0YAW3
RANBP3,RANBP3,reviewed,Homo sapiens (Human),Q9H6Z4
TSSC4,TSSC4,unreviewed,Homo sapiens (Human),E9PL88
RELA,RELA,unreviewed,Homo sapiens (Human),E9PKV4
SCYL2,SCYL2,unreviewed,Homo sapiens (Human),A0A0U1RQQ9
IFT27,IFT27,unreviewed,Homo sapiens (Human),B1AH56
TRMT1,TRMT1,unreviewed,Homo sapiens (Human),K7EQQ8
NDUFAF2,NDUFAF2,unreviewed,Homo sapiens (Human),D6RA56
COPG2,COPG2,reviewed,Homo sapiens (Human),Q9UBF2
TCOF1,TCOF1,reviewed,Homo sapiens (Human),Q13428
DNAJB6,DNAJB6,unreviewed,Homo sapiens (Human),C9JDR7
TNFRSF12A,TNFRSF12A,unreviewed,Homo sapiens (Human),I3L1J9
MX2,MX2,unreviewed,Homo sapiens (Human),C9JS04
UBE4A,UBE4A,unreviewed,Homo sapiens (Human),B7Z7P0
SERPINB8,SERPINB8,unreviewed,Homo sapiens (Human),A0A1B0GU38
HSP90AB2P HSP90BB,HSP90AB2P,reviewed,Homo sapiens (Human),Q58FF8
REEP3,REEP3,unreviewed,Homo sapiens (Human),A0A0U1RR85
CD276,CD276,unreviewed,Homo sapiens (Human),H0YL10
NDUFA12,NDUFA12,unreviewed,Homo sapiens (Human),H0YID5
SLC26A11,SLC26A11,unreviewed,Homo sapiens (Human),I3L124
PLCG1,PLCG1,unreviewed,Homo sapiens (Human),V9GYH5
TNFAIP3,TNFAIP3,unreviewed,Homo sapiens (Human),Q5VXQ9
CNOT1,CNOT1,unreviewed,Homo sapiens (Human),H3BNB1
MID1,MID1,unreviewed,Homo sapiens (Human),A0A087X255
NNMT,NNMT,reviewed,Homo sapiens (Human),P40261
NOSIP,NOSIP,unreviewed,Homo sapiens (Human),A0A075B797
TPM4 hCG_1999582,TPM4,unreviewed,Homo sapiens (Human),A0A5F9UN72
,,unreviewed,Homo sapiens (Human),A0A3B3ISG8
CYP20A1 UNQ667/PRO1301,CYP20A1,reviewed,Homo sapiens (Human),Q6UW02
TUBA1C TUBA6,TUBA1C,reviewed,Homo sapiens (Human),Q9BQE3
HTATSF1,HTATSF1,unreviewed,Homo sapiens (Human),Q5H919
LEMD2,LEMD2,unreviewed,Homo sapiens (Human),D6R958
EIF2B2,EIF2B2,unreviewed,Homo sapiens (Human),G3V5E5
ELP2 STATIP1,ELP2,reviewed,Homo sapiens (Human),Q6IA86
ACAA2,ACAA2,unreviewed,Homo sapiens (Human),A0A0B4J2A4
FST,FST,unreviewed,Homo sapiens (Human),H0YAF9
GTPBP4,GTPBP4,unreviewed,Homo sapiens (Human),Q5T3R7
NUDT4,NUDT4,unreviewed,Homo sapiens (Human),F8VRR0
RPL32 PP9932,RPL32,reviewed,Homo sapiens (Human),P62910
PHLDB1,PHLDB1,unreviewed,Homo sapiens (Human),A0A087WTZ7
CHD1L ALC1,CHD1L,reviewed,Homo sapiens (Human),Q86WJ1
AQR,AQR,unreviewed,Homo sapiens (Human),H0YLN9
VPS35L,VPS35L,unreviewed,Homo sapiens (Human),F5H7K1
VAMP5 HSPC191,VAMP5,reviewed,Homo sapiens (Human),O95183
SH3KBP1,SH3KBP1,unreviewed,Homo sapiens (Human),Q5VSN0
CASP7 MCH3,CASP7,reviewed,Homo sapiens (Human),P55210
GOLGA3,GOLGA3,unreviewed,Homo sapiens (Human),A0A494C129
FBXO7,FBXO7,unreviewed,Homo sapiens (Human),F8WDR9
SAFB2 KIAA0138,SAFB2,reviewed,Homo sapiens (Human),Q14151
ARID1B,ARID1B,unreviewed,Homo sapiens (Human),A0A1B0GV63
ITGA3,ITGA3,unreviewed,Homo sapiens (Human),D6R9X8
SIRPB1,SIRPB1,unreviewed,Homo sapiens (Human),H3BQ21
MVK,MVK,unreviewed,Homo sapiens (Human),F5GXC0
DECR2,DECR2,unreviewed,Homo sapiens (Human),A0A0J9YXZ6
RPS8,RPS8,unreviewed,Homo sapiens (Human),Q5JR95
ZEB2,ZEB2,unreviewed,Homo sapiens (Human),U3KPV5
SMARCA4,SMARCA4,unreviewed,Homo sapiens (Human),A0A2R8Y7R0
USP32,USP32,unreviewed,Homo sapiens (Human),K7EQL6
HMGN1,HMGN1,unreviewed,Homo sapiens (Human),F2Z2Y5
UQCRB,UQCRB,unreviewed,Homo sapiens (Human),E5RHG9
WBP11 NPWBP SIPP1 SNP70,WBP11,reviewed,Homo sapiens (Human),Q9Y2W2
RBMS2 SCR3,RBMS2,reviewed,Homo sapiens (Human),Q15434
IFNGR1,IFNGR1,unreviewed,Homo sapiens (Human),Q5TFC9
CENPE,CENPE,reviewed,Homo sapiens (Human),Q02224
NUP98,NUP98,unreviewed,Homo sapiens (Human),H7C3P6
PUF60,PUF60,unreviewed,Homo sapiens (Human),E9PL19
CBS,CBS,unreviewed,Homo sapiens (Human),H7C1W6
GALM BLOCK25,GALM,reviewed,Homo sapiens (Human),Q96C23
DIAPH2,DIAPH2,unreviewed,Homo sapiens (Human),C9J6U3
TBCE,TBCE,unreviewed,Homo sapiens (Human),A0A2R8YHI9
ATP5PF ATP5A ATP5J ATPM,ATP5PF,reviewed,Homo sapiens (Human),P18859
CTNND1,CTNND1,unreviewed,Homo sapiens (Human),C9JZR2
MRPL45,MRPL45,unreviewed,Homo sapiens (Human),A0A0G2JMS5
TTL,TTL,reviewed,Homo sapiens (Human),Q8NG68
FYTTD1,FYTTD1,unreviewed,Homo sapiens (Human),H9KVD1
HSD17B4,HSD17B4,unreviewed,Homo sapiens (Human),A0A2R8YEG2
GNL3,GNL3,unreviewed,Homo sapiens (Human),C9JYH9
LDHAL6A LDHL2,LDHAL6A,reviewed,Homo sapiens (Human),Q6ZMR3
MRPS12 RPMS12 RPSM12,MRPS12,reviewed,Homo sapiens (Human),O15235
CAPNS2,CAPNS2,reviewed,Homo sapiens (Human),Q96L46
GABARAPL2 hCG_21766,GABARAPL2,unreviewed,Homo sapiens (Human),H3BU36
TBCB,TBCB,unreviewed,Homo sapiens (Human),K7EQH0
TUBGCP3 GCP3,TUBGCP3,reviewed,Homo sapiens (Human),Q96CW5
DOCK10,DOCK10,unreviewed,Homo sapiens (Human),H7C0I3
TMBIM1 LFG3 RECS1 PP1201 PSEC0158,TMBIM1,reviewed,Homo sapiens (Human),Q969X1
ABCF2 HUSSY-18,ABCF2,reviewed,Homo sapiens (Human),Q9UG63
C15orf40,C15orf40,reviewed,Homo sapiens (Human),Q8WUR7
SAMHD1,SAMHD1,unreviewed,Homo sapiens (Human),A0A2R8Y7R5
VPS33A,VPS33A,unreviewed,Homo sapiens (Human),F5H6Y0
CBS,CBS,unreviewed,Homo sapiens (Human),H7C2W0
CSNK2B hCG_43725,CSNK2B,unreviewed,Homo sapiens (Human),Q5SRQ6
AMPD2,AMPD2,reviewed,Homo sapiens (Human),Q01433
DCLK1 DCAMKL1 DCDC3A KIAA0369,DCLK1,reviewed,Homo sapiens (Human),O15075
NAV3,NAV3,unreviewed,Homo sapiens (Human),F8VZV4
TSC2,TSC2,unreviewed,Homo sapiens (Human),A0A2R8YGE6
DPYSL3,DPYSL3,unreviewed,Homo sapiens (Human),D6RF19
CTNNB1,CTNNB1,unreviewed,Homo sapiens (Human),A0A2R8Y5A3
DARS1,DARS1,unreviewed,Homo sapiens (Human),C9JQM9
PFKFB3,PFKFB3,unreviewed,Homo sapiens (Human),H0Y483
RPL37A hCG_16380,RPL37A,unreviewed,Homo sapiens (Human),C9J4Z3
BLOC1S1,BLOC1S1,unreviewed,Homo sapiens (Human),F8VP73
POLR1B,POLR1B,unreviewed,Homo sapiens (Human),F8WAK7
ASNS,ASNS,unreviewed,Homo sapiens (Human),C9JLN6
SRP68,SRP68,reviewed,Homo sapiens (Human),Q9UHB9
PPA2 HSPC124,PPA2,reviewed,Homo sapiens (Human),Q9H2U2
SGCE,SGCE,unreviewed,Homo sapiens (Human),A0A2R8Y5L4
GNB1,GNB1,unreviewed,Homo sapiens (Human),F6X3N5
RANBP3,RANBP3,unreviewed,Homo sapiens (Human),K7EMH9
TIMMDC1,TIMMDC1,unreviewed,Homo sapiens (Human),F8WC42
DLG1,DLG1,unreviewed,Homo sapiens (Human),C9JN61
DHX16 hCG_26008,DHX16,unreviewed,Homo sapiens (Human),Q5SQH5
ZC3H14,ZC3H14,unreviewed,Homo sapiens (Human),H0YJ87
CAVIN3 PRKCDBP SRBC,CAVIN3,reviewed,Homo sapiens (Human),Q969G5
ALG11 GT8,ALG11,reviewed,Homo sapiens (Human),Q2TAA5
ZDHHC5,ZDHHC5,unreviewed,Homo sapiens (Human),E9PMA5
SRSF1 SFRS1 hCG_1774411,SRSF1,unreviewed,Homo sapiens (Human),J3QQV5
PPP2R5D,PPP2R5D,unreviewed,Homo sapiens (Human),H7C5Q9
ZEB2,ZEB2,unreviewed,Homo sapiens (Human),A0A1B0GWI0
ZEB2,ZEB2,unreviewed,Homo sapiens (Human),U3KQ51
HNRNPC HNRPC,HNRNPC,reviewed,Homo sapiens (Human),P07910
CNN1,CNN1,unreviewed,Homo sapiens (Human),K7ER02
NT5DC1,NT5DC1,unreviewed,Homo sapiens (Human),H0YDA5
SORBS2,SORBS2,unreviewed,Homo sapiens (Human),C9J3W4
RENBP,RENBP,unreviewed,Homo sapiens (Human),H7C1A7
CLN3,CLN3,unreviewed,Homo sapiens (Human),H3BNK7
COPS7B,COPS7B,unreviewed,Homo sapiens (Human),J3QT67
ARFGEF1,ARFGEF1,unreviewed,Homo sapiens (Human),E5RHZ1
DHFR2 DHFRL1 DHFRP4,DHFR2,reviewed,Homo sapiens (Human),Q86XF0
RPLP0,RPLP0,unreviewed,Homo sapiens (Human),F8VS58
ANKFY1,ANKFY1,unreviewed,Homo sapiens (Human),K7EPT2
MAGI1,MAGI1,unreviewed,Homo sapiens (Human),A0A087WT53
LSM14B C20orf40 FAM61B RAP55B,LSM14B,reviewed,Homo sapiens (Human),Q9BX40
DDAH2,DDAH2,unreviewed,Homo sapiens (Human),H0Y7N1
DUS2,DUS2,unreviewed,Homo sapiens (Human),J3QLD5
RAB34,RAB34,unreviewed,Homo sapiens (Human),H7C0Y7
RO60 SSA2 TROVE2,RO60,reviewed,Homo sapiens (Human),P10155
ATM,ATM,unreviewed,Homo sapiens (Human),M0QXY8
,,unreviewed,Homo sapiens (Human),H0YET2
COMMD1 C2orf5 MURR1,COMMD1,reviewed,Homo sapiens (Human),Q8N668
HERC6,HERC6,unreviewed,Homo sapiens (Human),A0A0B4J1R3
RNF20,RNF20,unreviewed,Homo sapiens (Human),C9JXC9
G3BP1,G3BP1,unreviewed,Homo sapiens (Human),E5RI46
WASH2P FAM39B,WASH2P,reviewed,Homo sapiens (Human),Q6VEQ5
DBNL,DBNL,unreviewed,Homo sapiens (Human),F8WCK3
NPTN SDFR1 SDR1,NPTN,reviewed,Homo sapiens (Human),Q9Y639
CDC42,CDC42,unreviewed,Homo sapiens (Human),A0A494BZX6
GMPPA,GMPPA,unreviewed,Homo sapiens (Human),C9J255
,,unreviewed,Homo sapiens (Human),A0A2R8YDH4
VARS1,VARS1,unreviewed,Homo sapiens (Human),A0A140T904
RPL17,RPL17,unreviewed,Homo sapiens (Human),J3QQT2
SIL1,SIL1,unreviewed,Homo sapiens (Human),D6RBP7
ABI3BP,ABI3BP,unreviewed,Homo sapiens (Human),H0YF57
NAPG,NAPG,unreviewed,Homo sapiens (Human),J3QS28
DHCR7,DHCR7,unreviewed,Homo sapiens (Human),E9PQ71
DDX10,DDX10,unreviewed,Homo sapiens (Human),A0A3B3ISR7
MSL1 MSL1L1,MSL1,reviewed,Homo sapiens (Human),Q68DK7
HNRNPH1,HNRNPH1,unreviewed,Homo sapiens (Human),D6R9T0
BPTF FAC1 FALZ,BPTF,reviewed,Homo sapiens (Human),Q12830
RIPOR1,RIPOR1,unreviewed,Homo sapiens (Human),H3BV02
CCNY C10orf9 CBCP1 CFP1,CCNY,reviewed,Homo sapiens (Human),Q8ND76
GIPC1,GIPC1,unreviewed,Homo sapiens (Human),K7ELJ2
TECPR1 KIAA1358,TECPR1,reviewed,Homo sapiens (Human),Q7Z6L1
