Gene names,Gene names  (primary ),Status,Organism,Protein ID
GSTT1;hCG_39955,GSTT1,unreviewed,Homo sapiens (Human),A0A0G2JQD8
SMARCA4,SMARCA4,unreviewed,Homo sapiens (Human),A0A2R8Y5K3
ZEB2;KIAA0569;SIP1;ZFHX1B;ZFX1B;HRIHFB2411,ZEB2,reviewed,Homo sapiens (Human),O60315
SAMHD1,SAMHD1,unreviewed,Homo sapiens (Human),A0A2R8YFV6
PTPN14;PEZ;PTPD2,PTPN14,reviewed,Homo sapiens (Human),Q15678
PRKAR1A,PRKAR1A,unreviewed,Homo sapiens (Human),K7EMZ6
GCSH,GCSH,unreviewed,Homo sapiens (Human),H3BUH9
IMMT,IMMT,unreviewed,Homo sapiens (Human),H7C463
SIAE;YSG2,SIAE,reviewed,Homo sapiens (Human),Q9HAT2
FASTKD5;KIAA1792,FASTKD5,reviewed,Homo sapiens (Human),Q7L8L6
AMPD2,AMPD2,reviewed,Homo sapiens (Human),Q01433
HEXB,HEXB,unreviewed,Homo sapiens (Human),D6REQ8
ACYP2,ACYP2,unreviewed,Homo sapiens (Human),F8WA34
HM13,HM13,unreviewed,Homo sapiens (Human),A0A3B3IUB5
KYAT1,KYAT1,unreviewed,Homo sapiens (Human),A0A494C066
HMGXB4,HMGXB4,unreviewed,Homo sapiens (Human),B0QXZ9
MBD1,MBD1,unreviewed,Homo sapiens (Human),K7EMA9
CERT1,CERT1,unreviewed,Homo sapiens (Human),A0A2R8YFI2
NRP2,NRP2,unreviewed,Homo sapiens (Human),C9JH98
INTS3;C1orf193;C1orf60,INTS3,reviewed,Homo sapiens (Human),Q68E01
HNRNPC,HNRNPC,unreviewed,Homo sapiens (Human),G3V2Q1
DDX23,DDX23,unreviewed,Homo sapiens (Human),F8VVA2
AMPD3,AMPD3,unreviewed,Homo sapiens (Human),E9PLK6
PARN,PARN,unreviewed,Homo sapiens (Human),A0A494C1K5
LSG1,LSG1,reviewed,Homo sapiens (Human),Q9H089
ADAM17,ADAM17,unreviewed,Homo sapiens (Human),A0A3B3ITW9
PMFBP1,PMFBP1,reviewed,Homo sapiens (Human),Q8TBY8
PTGIS;CYP8;CYP8A1,PTGIS,reviewed,Homo sapiens (Human),Q16647
YWHAZ,YWHAZ,unreviewed,Homo sapiens (Human),E9PD24
GCSH,GCSH,reviewed,Homo sapiens (Human),P23434
LAMC1;LAMB2,LAMC1,reviewed,Homo sapiens (Human),P11047
MTHFD1,MTHFD1,unreviewed,Homo sapiens (Human),V9GY75
EPRS1,EPRS1,unreviewed,Homo sapiens (Human),V9GYZ6
MARS1,MARS1,unreviewed,Homo sapiens (Human),H0YI94
ACTN4,ACTN4,reviewed,Homo sapiens (Human),O43707
TPI1,TPI1,unreviewed,Homo sapiens (Human),U3KPS5
BANF1,BANF1,unreviewed,Homo sapiens (Human),E9PJJ8
ATXN10,ATXN10,unreviewed,Homo sapiens (Human),B1AHE3
JUP,JUP,unreviewed,Homo sapiens (Human),C9JK18
PPP2CA,PPP2CA,unreviewed,Homo sapiens (Human),E7ESG8
SNX8,SNX8,reviewed,Homo sapiens (Human),Q9Y5X2
PES1,PES1,unreviewed,Homo sapiens (Human),B5MCF9
KIF23,KIF23,unreviewed,Homo sapiens (Human),A0A2U3TZL8
C15orf40,C15orf40,unreviewed,Homo sapiens (Human),H0Y996
CLIC1;G6;NCC27,CLIC1,reviewed,Homo sapiens (Human),O00299
EIF4A1,EIF4A1,unreviewed,Homo sapiens (Human),J3KS25
AGK,AGK,unreviewed,Homo sapiens (Human),E9PC15
VPS25;DERP9;EAP20,VPS25,reviewed,Homo sapiens (Human),Q9BRG1
POLR1B,POLR1B,unreviewed,Homo sapiens (Human),F8WDS4
CCN2;CTGF;HCS24;IGFBP8,CCN2,reviewed,Homo sapiens (Human),P29279
FADS1,FADS1,unreviewed,Homo sapiens (Human),F5GYH4
BAIAP2,BAIAP2,unreviewed,Homo sapiens (Human),I3L4C2
ASDURF,ASDURF,unreviewed,Homo sapiens (Human),U3KQ49
ARFGAP3;ARFGAP1,ARFGAP3,reviewed,Homo sapiens (Human),Q9NP61
CD248;CD164L1;TEM1,CD248,reviewed,Homo sapiens (Human),Q9HCU0
CTNNB1,CTNNB1,unreviewed,Homo sapiens (Human),A0A2R8Y750
STK25,STK25,unreviewed,Homo sapiens (Human),C9JN58
LMAN2,LMAN2,unreviewed,Homo sapiens (Human),D6RBV2
PABPC1,PABPC1,unreviewed,Homo sapiens (Human),H0YBN4
CLPX,CLPX,unreviewed,Homo sapiens (Human),H0YK07
VPS16,VPS16,reviewed,Homo sapiens (Human),Q9H269
GSTM2;GST4,GSTM2,reviewed,Homo sapiens (Human),P28161
SRM,SRM,unreviewed,Homo sapiens (Human),K7EKM4
SMCO4,SMCO4,unreviewed,Homo sapiens (Human),E9PSB8
PSMD7;MOV34L,PSMD7,reviewed,Homo sapiens (Human),P51665
CHMP7,CHMP7,reviewed,Homo sapiens (Human),Q8WUX9
NUP93,NUP93,unreviewed,Homo sapiens (Human),H3BP95
POLR2C;A-152E5.7,POLR2C,reviewed,Homo sapiens (Human),P19387
NAV3,NAV3,unreviewed,Homo sapiens (Human),F8VZV4
RRM1,RRM1,unreviewed,Homo sapiens (Human),E9PL69
CCM2,CCM2,unreviewed,Homo sapiens (Human),E9PEC4
SEC22B;SEC22L1,SEC22B,reviewed,Homo sapiens (Human),O75396
LRPPRC,LRPPRC,unreviewed,Homo sapiens (Human),H7C3W8
NUP85,NUP85,unreviewed,Homo sapiens (Human),F5H0W7
CSNK1E,CSNK1E,unreviewed,Homo sapiens (Human),H0Y5S9
ATP6V1E1;ATP6E;ATP6E2,ATP6V1E1,reviewed,Homo sapiens (Human),P36543
